GUC Name,Type,Context,Category,Description,Backing Variable,Flags,ConnMgr Compatible,Risk Level,Reasoning
yb_enable_base_scans_cost_model,bool,PGC_USERSET,QUERY_TUNING_METHOD,"Enables YB cost model for Sequential and Index scans. DEPRECATED: This setting is deprecated and will be removed in a future release. Use ""yb_enable_cbo"" instead.",yb_enable_base_scans_cost_model,GUC_EXPLAIN|GUC_NOT_IN_SAMPLE,NEEDS_REVIEW,MEDIUM,"CROSS-GUC ASSIGN HOOK: assign_yb_enable_base_scans_cost_model directly writes yb_enable_cbo backing var. Also writes yb_ignore_stats, yb_legacy_bnl_cost (non-GUC). ConnMgr does NOT receive ParameterStatus for yb_enable_cbo change."
yb_enable_cbo,enum,PGC_USERSET,QUERY_TUNING_METHOD,Enable YB cost model.,yb_enable_cbo,GUC_EXPLAIN|GUC_NOT_IN_SAMPLE,NEEDS_REVIEW,MEDIUM,"CROSS-GUC ASSIGN HOOK: assign_yb_enable_cbo directly writes backing vars of yb_enable_base_scans_cost_model, yb_enable_optimizer_statistics (both are GUCs) and yb_ignore_stats, yb_legacy_bnl_cost (non-GUC globals). ConnMgr does NOT receive ParameterStatus for these side-effect changes. Mitigated by RESET ALL + deploy SET replaying the assign hook, BUT deploy ordering matters for circular dependencies."
yb_enable_optimizer_statistics,bool,PGC_USERSET,QUERY_TUNING_METHOD,"Enables use of the PostgreSQL selectivity estimation which utilizes table statistics collected with ANALYZE. When disabled, a simpler heuristics based selectivity estimation is used. DEPRECATED: This settting is deprecated and will be removed in a future release. Use ""yb_enable_cbo"" instead.",yb_enable_optimizer_statistics,GUC_EXPLAIN|GUC_NOT_IN_SAMPLE,NEEDS_REVIEW,MEDIUM,"CROSS-GUC ASSIGN HOOK: assign_yb_enable_optimizer_statistics directly writes yb_enable_cbo backing var. ConnMgr does NOT receive ParameterStatus for the yb_enable_cbo change. Also writes yb_ignore_stats, yb_legacy_bnl_cost (non-GUC). Mitigated by RESET ALL + deploy, but ordering matters."
ysql_upgrade_mode,bool,PGC_SUSET,DEVELOPER_OPTIONS,"Enter a special mode designed specifically for YSQL cluster upgrades. Allows creating new system tables with given relation and type OID. Do NOT use this unless you know exactly what you're doing, consequences may be dire!",IsYsqlUpgrade,GUC_NOT_IN_SAMPLE,NEEDS_REVIEW,MEDIUM,CROSS-GUC ASSIGN HOOK: assign_ysql_upgrade_mode directly writes allowSystemTableMods (backing var of allow_system_table_mods GUC). ConnMgr does NOT receive ParameterStatus for the allowSystemTableMods change. Mitigated: ysql_upgrade_mode is PGC_SUSET and only used during upgrade operations. Low practical risk.
lc_messages,string,PGC_SUSET,CLIENT_CONN_LOCALE,Sets the language in which messages are displayed.,locale_messages,GUC_LIST_INPUT|GUC_LIST_QUOTE|GUC_SUPERUSER_ONLY,NEEDS_REVIEW,LOW,"OS LOCALE SIDE-EFFECT: assign_locale_messages calls pg_perm_setlocale(LC_MESSAGES). This changes the process-wide message locale. When connection is reused, the old locale persists until deploy SET updates it. Minor practical impact since lc_messages is PGC_SUSET and rarely changed per-session."
seed,real,PGC_USERSET,UNGROUPED,Sets the seed for random-number generation.,phony_random_seed,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE|GUC_NO_RESET_ALL|GUC_NO_SHOW_ALL|GUC_UNIT_MS,NEEDS_REVIEW,LOW,"NON-ROUND-TRIPPABLE SHOW HOOK: show_random_seed always returns ""unavailable"". When client does SET seed = 0.5, ConnMgr receives ParameterStatus with value ""unavailable"". On deploy to new connection, ConnMgr sends SET seed = 'unavailable' which will fail. The seed GUC also has GUC_NO_RESET_ALL (bypassed by ConnMgr RESET). Practical impact: low (seed rarely used in production, and RNG state is per-transaction)."
tcp_keepalives_count,int,PGC_USERSET,CONN_AUTH_SETTINGS,Maximum number of TCP keepalive retransmits.,tcp_keepalives_count,GUC_EXPLAIN|GUC_UNIT_BLOCKS,NEEDS_REVIEW,LOW,"SHOW HOOK RETURNS KERNEL VALUE: show_tcp_keepalives_count returns pq_getkeepalivescount() - kernel value, not GUC value. Same concern. | SOCKET SIDE-EFFECT: assign_tcp_keepalives_count calls pq_setkeepalivescount(). Kernel TCP_KEEPCNT socket option persists across connection reuse."
tcp_keepalives_idle,int,PGC_USERSET,CONN_AUTH_SETTINGS,Time between issuing TCP keepalives.,tcp_keepalives_idle,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE|GUC_NO_SHOW_ALL|GUC_UNIT_S,NEEDS_REVIEW,LOW,"SHOW HOOK RETURNS KERNEL VALUE: show_tcp_keepalives_idle returns pq_getkeepalivesidle() which reads the actual kernel socket value, not the GUC-configured value. The GUC value and kernel value may differ (comment: ""GUC value might have little to do with actual kernel value""). ConnMgr may track/restore a different value than what was SET. Practical impact: low (TCP settings are typically global defaults). | SOCKET SIDE-EFFECT: assign_tcp_keepalives_idle calls pq_setkeepalivesidle() which sets the kernel TCP_KEEPIDLE socket option. When connection is reused, the old socket option persists until deploy SET updates it. Minor timing window."
tcp_keepalives_interval,int,PGC_USERSET,CONN_AUTH_SETTINGS,Time between TCP keepalive retransmits.,tcp_keepalives_interval,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE|GUC_NO_SHOW_ALL|GUC_UNIT_S,NEEDS_REVIEW,LOW,"SHOW HOOK RETURNS KERNEL VALUE: show_tcp_keepalives_interval returns pq_getkeepalivesinterval() - kernel value, not GUC value. Same concern as tcp_keepalives_idle. | SOCKET SIDE-EFFECT: assign_tcp_keepalives_interval calls pq_setkeepalivesinterval(). Kernel TCP_KEEPINTVL socket option persists across connection reuse."
tcp_user_timeout,int,PGC_USERSET,CONN_AUTH_SETTINGS,TCP user timeout.,tcp_user_timeout,GUC_NOT_IN_SAMPLE|GUC_UNIT_KB|GUC_UNIT_MS,NEEDS_REVIEW,LOW,"SHOW HOOK RETURNS KERNEL VALUE: show_tcp_user_timeout returns pq_getusertimeout() - kernel value, not GUC value. Same concern. | SOCKET SIDE-EFFECT: assign_tcp_user_timeout calls pq_setusertimeout(). Kernel TCP_USER_TIMEOUT socket option persists across connection reuse."
